image_id,blur,brightness,contrast,particle_density,edge_density
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_blur9,5.373868056142118,23.471913234170497,31.2278707713812,313.0,0.015658334739077368
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_bright0.5,49.50984470091136,11.187169029970462,16.440529122684424,824.0,0.026408142069453678
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_bright1.5,372.94146412152116,34.25479358716109,45.40269953041838,3185.0,0.05987146538065895
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_combo0,1476.634556144082,24.799693051655304,32.22589126286189,3392.0,0.06669841994370408
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_combo1,3.4105859899711564,5.6772080931164846,20.076579126783244,103.0,0.007974703222626856
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_gamma0.5,152.2257445360574,6.0998111341542876,22.298904976694157,335.0,0.025859074987348303
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_gamma2.0,349.52823781060795,67.06422761807423,37.582393475946304,3815.0,0.11823134246901575
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_noise15,1627.8480891045717,24.86509818708634,33.05587595069814,3780.0,0.08991138851126745
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864_noise50,11340.359990500618,35.778150437765234,36.78097802142669,5143.0,0.3624371963179429
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_blur5,18.36546665693595,24.330988221518798,33.35017663919342,1257.0,0.027450046472243996
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_blur9,5.4969187223306495,24.32733328702647,32.65101216400458,346.0,0.016386014004518227
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_bright0.5,52.32439235485392,11.654289503888123,17.140283041224418,950.0,0.027476507536441847
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_bright1.5,394.2556970330024,35.42863947130794,46.75200664641081,3249.0,0.06144259106740625
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_combo0,1162.4353447563497,14.439624120583069,17.220107082700128,3935.0,0.04506980759498695
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_combo1,12600.337066032818,45.17482163588914,48.094874514036256,4963.0,0.3625529634738085
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_gamma0.5,157.79330966925664,6.627199989415574,24.082574618769545,365.0,0.026795135133347227
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_gamma2.0,376.7659743677207,68.29713459751068,38.38276884190376,3872.0,0.1246977650323652
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_noise15,1650.126806105009,25.67582219487912,34.45245178718529,3764.0,0.09822347030241689
125_jpg.rf.f37f515011dff4fbb0b882e824432b93_noise50,11473.477244988842,36.4811018387132,37.826520570689006,5209.0,0.36250334897843756
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_blur5,10.93247436225141,21.514002864410198,27.28993557875745,916.0,0.01834413275515908
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_blur9,4.187720154806396,21.508740420267852,26.671059812250476,267.0,0.011947170485328994
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_bright0.5,23.189502181010866,10.111804611501963,14.039741362733368,550.0,0.01606186596809457
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_bright1.5,175.82755350885603,31.628523042625467,39.97429733745524,2856.0,0.04023735574585471
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_combo0,174.83935671178887,65.55201087549739,33.33722454828783,3540.0,0.062061118443030985
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_combo1,175.82755350885603,31.628523042625467,39.97429733745524,2856.0,0.04023735574585471
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_gamma0.5,67.37024309241687,4.565291022091681,16.96978310793326,232.0,0.0185690518008408
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_gamma2.0,174.83935671178887,65.55201087549739,33.33722454828783,3540.0,0.062061118443030985
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_noise15,1526.9028801695376,22.811941216745886,28.48596109359705,3640.0,0.07480873612034492
126_jpg.rf.f7af3aff196462c418de0a98847a93f3_noise50,11206.980579205294,34.025263701042896,33.49182550998654,5177.0,0.36060476762224186
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a_blur5,13.581594108858694,20.607413728661633,26.85455048599039,1037.0,0.019941719506104235
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a_blur9,4.467616375982745,20.604456704737522,26.192248028432324,291.0,0.01224816509057953
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a_bright0.5,32.6246789428816,9.691698833397831,13.876054246780656,674.0,0.0184632075440494
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a_bright1.5,249.10833594233446,30.35554078146138,39.591315784660736,3114.0,0.0439187513023805
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a_combo0,18813.763035359447,79.87455801753707,47.7030168064878,4072.0,0.3706533567513752
