image_id,blur,brightness,contrast,particle_density,edge_density
131_jpg.rf.429974f7222f6b61a84b1971a6eb7218,224.96710427982376,26.084232182607803,35.3037285808689,2370.0,0.046323400511360066
132_jpg.rf.17268cc947dbd738fbb534f57111d31b,207.0769378273696,23.34678216921189,29.78473225467944,2730.0,0.04154717842364825
134_jpg.rf.bfc2b2ce193188b9213229e9ff725045,78.26378187780858,22.641065587055248,29.42386104089004,1954.0,0.030605528377837535
135_jpg.rf.95b2d339db26f28f3179d4dd162aad9d,179.26040618510686,22.398827774856034,29.529007325270562,2342.0,0.040105050424865465
136_jpg.rf.2004d3fffff3f58a759dc6f0d10d3f10,190.9682521104382,23.04140164257056,29.982323585221387,2607.0,0.039595674939056864
138_jpg.rf.7e7286a215caebac413c3ac6c5ed0150,165.4039082490201,21.651702934862783,29.164059543013934,2387.0,0.03829246752731278
141_jpg.rf.ae0182b2d966fc94bf76f129f46c5a45,163.08395613510731,20.84955561950313,30.35176245624661,1775.0,0.03631450297852354
142_jpg.rf.9d8e6fa070a9e2c99c56fc36a5b6754d,133.5273305358547,20.72793395318376,29.301468602458314,1789.0,0.033542706503798814
143_jpg.rf.4bf2d593b2dcffe4a19da0d590ed30cb,108.57416605812014,19.25095342521938,28.285998137816296,1653.0,0.030721295533703126
145_jpg.rf.c7b023ab3763cd94bf5a6c083c10b985,162.9323709365312,20.032686029550394,29.612341158208555,1816.0,0.03455153457634182
148_jpg.rf.735bb3e0815dbb534fee4a5fddb8fc9a,149.22951460837885,19.89703338394012,28.269251999336127,2141.0,0.03490214367696333
149_jpg.rf.a9ca776619da0dd70e95602e523dbb1a,187.72291095892285,21.631274993302043,30.170979177047737,2546.0,0.03973128789307084
150_jpg.rf.2dd6790f5fc0211c6b8a0bebded08354,170.5353932672713,21.024450023318813,29.826714478993846,2359.0,0.03820316143564504
152_jpg.rf.da2c4d0f32d6f12ecd6ecacd1ee76a68,102.78813699204996,22.92690131015344,31.35171977806179,2462.0,0.033281403494845055
155_jpg.rf.093f66fb1b5c68857d3fb733ea6c28e0,188.1171409232488,22.38532270921606,30.867000713880085,2516.0,0.039919822975480516
156_jpg.rf.746421f245b72dbf541074bf5d373bdd,220.9810998724269,22.74585140127873,30.772014759519653,2617.0,0.04488127251257727
157_jpg.rf.346be485e8163f4150a6ab9427aac768,223.78053181971876,23.19044689429797,31.576102583326307,2778.0,0.048744587885463285
159_jpg.rf.fe559d95c93942ca2d444b5300d564bd,188.2484279975549,21.377123086947748,29.058016642235863,2738.0,0.03814362404119988
